"BCH_LAB_CODE","LOINC_LAB_CODE"
"LAB:4744086","17860-8"
"LAB:3775154","18721-1"
"LAB:3774676","18721-1"
"LAB:3775999","18716-1"
"LAB:117951545","18719-5"
"LAB:501519761","18728-6"
"LAB:4744088","25860-8"
"LAB:3775327","21203-5"
"LAB:276153024","51730-0"
"LAB:3775251","44449-7"
"LAB:3775737","86107-0"
"LAB:3775930","2532-0"
"LAB:3775222","18719-5"
"LAB:107199023","29937-0"
"LAB:3774841","6049-1"
"LAB:3775626","5645-7"
"LAB:3776042","18767-4"
"LAB:226643324","9709-7"
"LAB:3775687","12229-1"
"LAB:3775700","14820-5"
"LAB:13815134","18727-8"
"LAB:3774930","5255-5"
"LAB:3997411","47938-6"
"LAB:13815111","18727-8"
"LAB:3776123","54247-2"
"LAB:3775930","18719-5"
"LAB:3775150","2711-0"
"LAB:3774797","18723-7"
"LAB:3998846","18725-2"
"LAB:3775103","18719-5"
"LAB:117951557","30238-0"
"LAB:3775324","3087-4"
"LAB:3775516","13362-9"
"LAB:3774528","41617-2"
"LAB:3774631","34155-2"
"LAB:240259507","6742-1"
"LAB:82920265","18719-5"
"LAB:359468269","18727-8"
"LAB:3775146","8840-1"
"LAB:107199034","18719-5"
"LAB:3774808","15198-5"
"LAB:3775958","9393-0"
"LAB:248037688","49752-9"
"LAB:3775399","13828-9"
"LAB:398071426","18719-5"
"LAB:3774842","7313-0"
"LAB:3775534","13362-9"
"LAB:3776022","30313-1"
"LAB:117951530","30564-9"
"LAB:3775461","6087-1"
"LAB:3774677","18721-1"
"LAB:3775089","2708-6"
"LAB:3775711","48040-0"
"LAB:3774546","18727-8"
"LAB:3775713","2965-2"
"LAB:3775663","753-4"
"LAB:85969525","13362-9"
"LAB:123248815","13748-9"
"LAB:3775522","13362-9"
"LAB:3774964","47977-4"
"LAB:3726234","5649-9"
"LAB:3775370","18719-5"
"LAB:580107843","18719-5"
"LAB:572944253","18719-5"
"LAB:3775143","4049-3"
"LAB:13130297","49455-9"
"LAB:4744030","9412-8"
"LAB:3775529","19153-6"
"LAB:3774810","35746-7"
"LAB:248037663","29956-0"
"LAB:3775941","18721-1"
"LAB:3776062","13362-9"
"LAB:3774645","18721-1"
"LAB:110844470","56540-8"
"LAB:117951557","18719-5"
"LAB:3775666","714-6"
"LAB:501520219","18728-6"
"LAB:3774475","24380-8"
"LAB:96302176","50398-7"
"LAB:3726067","2143-6"
"LAB:3775088","18719-5"
"LAB:3775388","18721-1"
"LAB:511259669","38445-3"
"LAB:8741170","49338-7"
"LAB:123248786","18719-5"
"LAB:3775261","18719-5"
"LAB:3775681","10328-3"
"LAB:3774850","33536-4"
"LAB:3727020","10451-3"
"LAB:11519566","18719-5"
"LAB:3775016","18768-2"
"LAB:3774673","18721-1"
"LAB:89829733","53289-5"
"LAB:3775200","4484-2"
"LAB:3775140","18719-5"
"LAB:3774599","26435-8"
"LAB:3775712","18768-2"
"LAB:84976670","18721-1"
"LAB:3775678","18723-7"
"LAB:124570359","6896-5"
"LAB:3776046","787-2"
"LAB:3774837","6203-4"
"LAB:7249732","26435-8"
"LAB:3775814","33640-4"
"LAB:3775530","13362-9"
"LAB:13298837","26435-8"
"LAB:3774503","10335-8"
"LAB:3775703","31995-4"
"LAB:3775846","6298-4"
"LAB:3775063","8251-1"
"LAB:3776012","18716-1"
"LAB:13815134","7959-0"
"LAB:3774954","18719-5"
"LAB:13815110","79673-0"
"LAB:45295485","49248-8"
"LAB:34975682","35655-0"
"LAB:3775965","2963-7"
"LAB:7524348","48398-2"
"LAB:3775626","18728-6"
"LAB:3774951","14313-1"
"LAB:3774604","31208-2"
"LAB:43435806","33822-8"
"LAB:3775250","18719-5"
"LAB:4744011","22655-5"
"LAB:13815127","18721-1"
"LAB:3775496","3053-6"
"LAB:13298842","26435-8"
"LAB:3775304","6258-8"
"LAB:4744033","22646-4"
"LAB:3775978","6246-3"
"LAB:3726226","2276-4"
"LAB:3775060","18767-4"
"LAB:10865248","16117-4"
"LAB:3775653","12227-5"
"LAB:4743991","18719-5"
"LAB:3775543","18719-5"
"LAB:3775863","48664-7"
"LAB:3775052","19088-4"
"LAB:140163717","18727-8"
"LAB:3775683","12208-5"
"LAB:3775162","20578-1"
"LAB:501520019","18716-1"
"LAB:46528739","3862-0"
"LAB:3775540","18719-5"
"LAB:13130297","49452-6"
"LAB:3776136","18719-5"
"LAB:3774579","18723-7"
"LAB:3776169","24475-6"
"LAB:10865262","53772-0"
"LAB:13130299","18725-2"
"LAB:3774992","33223-9"
"LAB:11519558","26435-8"
"LAB:3775048","6743-9"
"LAB:3774501","18723-7"
"LAB:3775788","18716-1"
"LAB:7872582","18727-8"
"LAB:3776150","14875-9"
"LAB:3775964","18719-5"
"LAB:10865268","53773-8"
"LAB:3775667","18768-2"
"LAB:3775377","18727-8"
"LAB:3775334","18727-8"
"LAB:3775841","18767-4"
"LAB:3775232","18719-5"
"LAB:3774841","18716-1"
"LAB:3775408","18719-5"
"LAB:3775203","5124-3"
"LAB:13880964","18719-5"
"LAB:258248387","57802-1"
"LAB:3775166","40599-3"
"LAB:3774773","18727-8"
"LAB:183033123","23876-6"
"LAB:13815122","25821-0"
"LAB:3775083","17790-7"
"LAB:3775641","2617-9"
"LAB:222053974","18719-5"
"LAB:52891176","31208-2"
"LAB:96302176","18725-2"
"LAB:3775943","18721-1"
"LAB:501520273","18716-1"
"LAB:3775506","13362-9"
"LAB:3774951","3436-3"
"LAB:3775997","6143-2"
"LAB:13815124","18727-8"
"LAB:3775465","6065-7"
"LAB:3775081","19295-5"
"LAB:3775957","27823-4"
"LAB:3774819","12782-9"
"LAB:3726272","18719-5"
"LAB:3775702","12209-3"
"LAB:3775581","2157-6"
"LAB:3774514","58465-6"
"LAB:4744014","18719-5"
"LAB:89829737","58442-5"
"LAB:3775572","2093-3"
"LAB:19985056","18719-5"
"LAB:3775725","18720-3"
"LAB:3774816","6558-1"
"LAB:3775861","5902-2"
"LAB:3775372","18719-5"
"LAB:3775498","18719-5"
"LAB:3775363","39354-6"
"LAB:3775220","48343-8"
"LAB:3775474","6194-5"
"LAB:34975692","18719-5"
"LAB:40450544","33282-5"
"LAB:350750104","75384-8"
"LAB:3775732","2470-3"
"LAB:72465884","26435-8"
"LAB:4743957","30563-1"
"LAB:3775953","3256-5"
"LAB:3774973","16182-8"
"LAB:276153003","26435-8"
"LAB:3776071","19153-6"
"LAB:12777360","18727-8"
"LAB:3290543","18719-5"
"LAB:3726733","18719-5"
"LAB:335681345","18718-7"
"LAB:285955269","56005-2"
"LAB:3775314","18721-1"
"LAB:3775151","4059-2"
"LAB:501519749","7604-2"
"LAB:258248372","57802-1"
"LAB:4123537","27944-8"
"LAB:3774803","14661-3"
"LAB:3776086","18720-3"
"LAB:3775188","3209-4"
"LAB:15231043","18718-7"
"LAB:3774700","5281-1"
"LAB:3775710","34983-7"
"LAB:3774878","18719-5"
"LAB:3777231","18718-7"
"LAB:4743979","2373-9"
"LAB:3775008","18768-2"
"LAB:580107873","18727-8"
"LAB:72465871","18719-5"
"LAB:3774931","2258-2"
"LAB:13130298","18727-8"
"LAB:3775297","7774-3"
"LAB:3775954","18721-1"
"LAB:3775922","18719-5"
"LAB:3774682","18725-2"
"LAB:201668260","53595-5"
"LAB:3775685","13517-8"
"LAB:3774676","3807-5"
"LAB:63359916","14836-1"
"LAB:3775958","18721-1"
"LAB:3775484","18719-5"
"LAB:3776117","20638-3"
"LAB:3775703","13519-4"
"LAB:19985043","18718-7"
"LAB:3776142","20644-1"
"LAB:12717538","6850-2"
"LAB:11519562","18719-5"
"LAB:359468235","5195-3"
"LAB:4129028","18721-1"
"LAB:48612474","13722-4"
"LAB:3774680","5388-4"
"LAB:3776135","18723-7"
"LAB:332553313","21422-1"
"LAB:3775393","21038-5"
"LAB:3775011","18768-2"
"LAB:3775984","18716-1"
"LAB:10865270","41759-2"
"LAB:36918795","26435-8"
"LAB:3774837","18716-1"
"LAB:107199040","8203-2"
"LAB:3726348","18719-5"
"LAB:3775301","18716-1"
"LAB:3775135","18719-5"
"LAB:3775693","19075-1"
"LAB:3775713","14348-7"
"LAB:167153359","13362-9"
"LAB:3776000","19753-3"
"LAB:3775960","9394-8"
"LAB:3775674","730-2"
"LAB:3775956","18720-3"
